stage,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_auc_range,recall_mean,recall_ci_lower,recall_ci_upper,recall_range,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,f1_score_range
Stage 1 (TF-IDF),0.5114483032194618,0.5084366832854069,0.5144599231535166,0.49-0.53,0.13081967213114754,0.12695647657426726,0.1346828676880278,0.10-0.16,0.21528746245050304,0.20954822870496664,0.22102669619603943,0.18-0.26
Stage 2 (Subword),0.5,0.5,0.5,0.50-0.50,0.0,0.0,0.0,0.00-0.00,0.0,0.0,0.0,0.00-0.00
Stage 3 (MiniLM),0.496461457090832,0.49253374120209176,0.5003891729795723,0.47-0.53,0.5011326378539492,0.4962016297067722,0.5060636460011263,0.47-0.55,0.5246214550595765,0.5210424931909672,0.5282004169281858,0.50-0.56
Stage 4 (KoSimCSE),0.4916127610458084,0.4879745559554968,0.49525096613612,0.46-0.51,0.5136214605067064,0.5086204544533612,0.5186224665600516,0.46-0.55,0.530261910144015,0.5266500816863237,0.5338737386017064,0.50-0.55
