seed,roc_auc,recall,f1_score
1,0.4868089396740044,0.4843517138599106,0.5110062893081762
2,0.5014145576855797,0.5320417287630402,0.5404996214988645
3,0.4924974725283807,0.5230998509687034,0.5350609756097561
4,0.4989848792460835,0.5380029806259314,0.546142208774584
5,0.5010619512907323,0.5230998509687034,0.5395849346656418
6,0.49612821650032646,0.4977645305514158,0.526813880126183
7,0.5026707179672242,0.5096870342771982,0.5306439100077579
8,0.5032877791582073,0.5230998509687034,0.5387567152724482
9,0.4980372495599307,0.5171385991058122,0.5334358186010761
10,0.5051610006308349,0.5350223546944859,0.5460076045627377
11,0.487671172498905,0.5126676602086438,0.5272030651340996
12,0.4705670076113396,0.5171385991058122,0.5245653817082389
13,0.4656194991336351,0.5126676602086438,0.5235920852359208
14,0.4771728680398115,0.4932935916542474,0.5151750972762645
15,0.47420050632074506,0.5230998509687034,0.5310136157337367
16,0.49124406698419604,0.46497764530551416,0.4980047885075818
17,0.49499877414183047,0.5275707898658718,0.5421133231240429
18,0.5044254857290825,0.511177347242921,0.532608695652174
19,0.4895044502783662,0.5245901639344263,0.5386381025248661
20,0.5045246562776335,0.5275707898658718,0.540045766590389
21,0.4957866290553179,0.5216095380029806,0.5376344086021505
22,0.4904093815338929,0.5141579731743666,0.5295471987720645
23,0.4936434433116352,0.5022354694485842,0.5261514441842311
24,0.4881587610292801,0.5052160953800298,0.5268065268065268
25,0.5004283616749906,0.5067064083457526,0.53125
26,0.4711482572153461,0.5067064083457526,0.5190839694656488
27,0.5004311164124503,0.5081967213114754,0.5274555297757154
28,0.48838740423843896,0.5290611028315947,0.5382865807429871
29,0.5112572346292537,0.5052160953800298,0.5288611544461779
30,0.5049764332210318,0.503725782414307,0.5297805642633229
31,0.48605138687257415,0.5171385991058122,0.5297709923664122
32,0.49159391864158386,0.5514157973174366,0.5505952380952381
33,0.481696146948715,0.5022354694485842,0.5180630284396618
34,0.5013718592549536,0.4947839046199702,0.5191555903049258
35,0.4677874775144555,0.503725782414307,0.5140684410646388
36,0.5122241474776246,0.533532041728763,0.5457317073170732
37,0.4726137775439312,0.496274217585693,0.5162790697674419
38,0.4638289197847999,0.481371087928465,0.5023328149300156
39,0.48138486161576366,0.5052160953800298,0.5239567233384853
40,0.4641897903920267,0.47242921013412814,0.49803613511390415
41,0.5050315279702268,0.5245901639344263,0.5415384615384615
42,0.4816961469487151,0.5067064083457526,0.522273425499232
43,0.5045687320769894,0.5245901639344263,0.5415384615384615
44,0.48858299059808097,0.5365126676602087,0.5438066465256798
45,0.5031583064975993,0.526080476900149,0.5393430099312452
46,0.49054160893196075,0.488822652757079,0.5181674565560821
47,0.5029792485627157,0.5350223546944859,0.5531587057010786
48,0.4923376977557154,0.5216095380029806,0.5380476556495004
49,0.4944533361248007,0.5350223546944859,0.5427059712773998
50,0.5039378971987075,0.5230998509687034,0.5387567152724482
