seed,roc_auc,recall,f1_score
1,0.5390731961290429,0.6780923994038748,0.6284530386740331
2,0.5493180647418399,0.7078986587183308,0.6418918918918919
3,0.5512725509695299,0.6885245901639344,0.631578947368421
4,0.5763007181600557,0.7377049180327869,0.6617647058823529
5,0.5673244061474721,0.7317436661698957,0.6559786239144957
6,0.5833404497384377,0.6631892697466468,0.6303116147308782
7,0.5682320921404586,0.6900149031296572,0.6412742382271468
8,0.5487120225006955,0.7093889716840537,0.6463000678886626
9,0.5472974648151159,0.6944858420268256,0.6370471633629529
10,0.5000867742299822,0.6438152011922503,0.5987525987525988
11,0.5695860456019239,0.6736214605067065,0.6282140375260598
12,0.5543826495615836,0.6900149031296572,0.6377410468319559
13,0.5376269589626761,0.6721311475409836,0.6173853524982889
14,0.5741809476847809,0.6959761549925484,0.6508710801393728
15,0.5647349529353105,0.7168405365126677,0.6473755047106325
16,0.529361369214707,0.669150521609538,0.6184573002754821
17,0.5292332739228288,0.6721311475409836,0.6203576341127923
18,0.5518909895292429,0.6602086438152012,0.6195804195804195
19,0.5425538069094324,0.6751117734724292,0.6269896193771626
20,0.5626992019525578,0.6706408345752608,0.625
21,0.5433995113095746,0.6423248882265276,0.6074700493305144
22,0.5551581081565021,0.6751117734724292,0.6265560165975104
23,0.5634540000165285,0.7183308494783904,0.6495956873315364
24,0.5515686852464526,0.6780923994038748,0.6267217630853994
25,0.5814603414221609,0.6870342771982116,0.6411682892906815
26,0.5544804427414046,0.7183308494783904,0.6535593220338983
27,0.5704689389577726,0.6870342771982116,0.640722724113968
28,0.5628782598874414,0.713859910581222,0.6512576478585996
29,0.532544468349444,0.6751117734724292,0.6287300485773768
30,0.5691287591836061,0.6929955290611028,0.6356801093643198
31,0.555844037783979,0.7034277198211625,0.637407157326131
32,0.5394492177922983,0.6795827123695977,0.629399585921325
33,0.5771601962474966,0.7004470938897168,0.647829083390765
34,0.5671604992686172,0.7034277198211625,0.6496902959394356
35,0.5547820864932467,0.6929955290611028,0.6348122866894198
36,0.54388434510249,0.6602086438152012,0.6204481792717087
37,0.5738793039329386,0.6959761549925484,0.6366734832992502
38,0.5567503464082356,0.6959761549925484,0.6423658872077029
39,0.539354179349937,0.7019374068554396,0.639511201629328
40,0.5472644079655988,0.684053651266766,0.6287671232876713
41,0.5656385068221073,0.6915052160953801,0.6413268832066344
42,0.5567379500896668,0.6885245901639344,0.6337448559670782
43,0.5620793860241149,0.7093889716840537,0.6436781609195402
44,0.5720143466726904,0.706408345752608,0.6493150684931507
45,0.5378624890154844,0.6974664679582713,0.6371681415929203
46,0.5653644104448625,0.6870342771982116,0.6371803731859018
47,0.5600188424042246,0.684053651266766,0.63705759888966
48,0.5600629182035806,0.7153502235469449,0.6460296096904441
49,0.5631812810080136,0.6661698956780924,0.6286919831223629
50,0.5452617138323632,0.6885245901639344,0.6372413793103449
